epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,9120.9,0.80921,0.44433,1.06182,0.94348,0.92144,0.9528,0.61852,1.18173,0.50259,1.33768,0.000218,0.000218,0.000218
182,9169.83,0.80003,0.44038,1.05882,0.94076,0.92804,0.95076,0.62189,1.17705,0.50069,1.33048,0.0002081,0.0002081,0.0002081
183,9218.76,0.79247,0.44111,1.0531,0.94104,0.92695,0.95246,0.62531,1.17109,0.49835,1.3335,0.0001982,0.0001982,0.0001982
184,9267.71,0.78971,0.44133,1.05383,0.94374,0.92589,0.94768,0.62114,1.17027,0.50571,1.33777,0.0001883,0.0001883,0.0001883
185,9316.62,0.78532,0.43766,1.04972,0.93759,0.92671,0.94674,0.62064,1.16864,0.50554,1.33651,0.0001784,0.0001784,0.0001784
186,9365.56,0.7815,0.43773,1.04536,0.93626,0.92695,0.94432,0.62367,1.16928,0.5043,1.33581,0.0001685,0.0001685,0.0001685
187,9414.49,0.78068,0.4355,1.04894,0.93916,0.92712,0.9498,0.62474,1.17672,0.50994,1.34127,0.0001586,0.0001586,0.0001586
188,9463.39,0.78254,0.43343,1.0467,0.93169,0.92857,0.94968,0.62672,1.17514,0.50636,1.3416,0.0001487,0.0001487,0.0001487
189,9512.3,0.78353,0.43522,1.06111,0.94361,0.92356,0.95252,0.6262,1.1753,0.50474,1.33757,0.0001388,0.0001388,0.0001388
190,9561.21,0.76889,0.43091,1.04067,0.9412,0.92695,0.95497,0.62904,1.17087,0.49848,1.33673,0.0001289,0.0001289,0.0001289
191,9610.95,0.74863,0.36361,1.02,0.94366,0.9245,0.94739,0.62133,1.18179,0.50174,1.36461,0.000119,0.000119,0.000119
192,9659.91,0.7219,0.34884,1.00462,0.93813,0.92857,0.94819,0.62186,1.18559,0.50978,1.3651,0.0001091,0.0001091,0.0001091
193,9708.84,0.71561,0.34544,0.99347,0.94391,0.92857,0.95059,0.62223,1.18192,0.50343,1.36158,9.92e-05,9.92e-05,9.92e-05
194,9757.74,0.70587,0.34059,0.99102,0.94348,0.93019,0.95056,0.6259,1.17184,0.50197,1.34955,8.93e-05,8.93e-05,8.93e-05
195,9806.61,0.69972,0.33791,0.99235,0.9438,0.92692,0.95149,0.6221,1.17615,0.50674,1.35849,7.94e-05,7.94e-05,7.94e-05
196,9855.51,0.70812,0.33297,0.99379,0.93758,0.92695,0.94872,0.61946,1.17713,0.5079,1.36068,6.95e-05,6.95e-05,6.95e-05
197,9904.41,0.69742,0.33011,0.98664,0.94498,0.92003,0.94852,0.62239,1.17458,0.50627,1.36015,5.96e-05,5.96e-05,5.96e-05
198,9953.35,0.69908,0.33833,0.99431,0.94014,0.92208,0.94804,0.62387,1.17254,0.50426,1.35537,4.97e-05,4.97e-05,4.97e-05
199,10002.3,0.69333,0.33389,0.98352,0.94188,0.92073,0.94936,0.6257,1.16851,0.50583,1.35065,3.98e-05,3.98e-05,3.98e-05
200,10051.2,0.68185,0.32509,0.98117,0.93742,0.92403,0.95228,0.62714,1.16713,0.50396,1.34858,2.99e-05,2.99e-05,2.99e-05
