epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2183.14,1.29847,0.85559,1.35198,0.90408,0.84154,0.88309,0.53431,1.34741,0.77832,1.42566,0.0015941,0.0015941,0.0015941
43,2234.78,1.28547,0.82712,1.35512,0.94684,0.84578,0.92026,0.55607,1.29245,0.73598,1.36532,0.0015842,0.0015842,0.0015842
44,2286.43,1.28493,0.8316,1.34487,0.87057,0.75341,0.83952,0.49459,1.40361,0.93737,1.44115,0.0015743,0.0015743,0.0015743
45,2338.03,1.29279,0.83949,1.34812,0.91169,0.88824,0.91931,0.56,1.31104,0.70623,1.38521,0.0015644,0.0015644,0.0015644
46,2389.95,1.26098,0.80748,1.33603,0.89218,0.87316,0.90515,0.54702,1.30753,0.74958,1.38003,0.0015545,0.0015545,0.0015545
47,2441.62,1.25493,0.80976,1.32327,0.90404,0.87179,0.90891,0.55866,1.30592,0.74041,1.38651,0.0015446,0.0015446,0.0015446
48,2493.29,1.26509,0.79767,1.32274,0.90266,0.87315,0.91715,0.55048,1.32064,0.72992,1.40114,0.0015347,0.0015347,0.0015347
49,2544.91,1.26759,0.80217,1.33608,0.90163,0.86851,0.91389,0.56311,1.31644,0.70712,1.38853,0.0015248,0.0015248,0.0015248
50,2596.82,1.24921,0.80552,1.32371,0.92151,0.87175,0.91754,0.55487,1.32951,0.70646,1.40963,0.0015149,0.0015149,0.0015149
51,2648.46,1.24081,0.79408,1.3206,0.92301,0.85635,0.92115,0.57153,1.28245,0.6977,1.35441,0.001505,0.001505,0.001505
52,2700.37,1.24226,0.76388,1.31396,0.90293,0.88799,0.91813,0.56468,1.29733,0.69255,1.38275,0.0014951,0.0014951,0.0014951
53,2751.98,1.25251,0.78423,1.32461,0.90657,0.89789,0.91174,0.57566,1.24506,0.67186,1.33336,0.0014852,0.0014852,0.0014852
54,2803.87,1.21926,0.77444,1.30581,0.91832,0.87338,0.9125,0.55566,1.30226,0.70406,1.36396,0.0014753,0.0014753,0.0014753
55,2855.49,1.22004,0.76303,1.30991,0.90608,0.90833,0.92455,0.57298,1.28103,0.65533,1.36134,0.0014654,0.0014654,0.0014654
56,2907.19,1.22078,0.75368,1.31027,0.90099,0.87175,0.91047,0.55291,1.35392,0.72003,1.41107,0.0014555,0.0014555,0.0014555
57,2958.82,1.23658,0.77132,1.31244,0.91164,0.86364,0.92358,0.56263,1.29434,0.70821,1.36331,0.0014456,0.0014456,0.0014456
58,3010.46,1.21676,0.76221,1.29464,0.91442,0.8846,0.92631,0.56939,1.3197,0.66586,1.36583,0.0014357,0.0014357,0.0014357
59,3062.07,1.20851,0.73801,1.28376,0.92063,0.89448,0.92133,0.57244,1.27335,0.66763,1.35735,0.0014258,0.0014258,0.0014258
60,3113.69,1.22485,0.75165,1.28899,0.92204,0.88799,0.9316,0.58465,1.24577,0.65063,1.32996,0.0014159,0.0014159,0.0014159
61,3165.6,1.19628,0.72906,1.29128,0.8895,0.87662,0.91291,0.55744,1.28551,0.71606,1.35291,0.001406,0.001406,0.001406
62,3217.24,1.17891,0.72703,1.28105,0.91541,0.89593,0.94184,0.58968,1.23284,0.63679,1.33303,0.0013961,0.0013961,0.0013961
63,3269.2,1.18952,0.7437,1.2831,0.91825,0.88149,0.93421,0.58479,1.25161,0.64039,1.32949,0.0013862,0.0013862,0.0013862
64,3320.85,1.2088,0.73559,1.28842,0.91396,0.9026,0.92452,0.57417,1.2431,0.64599,1.36143,0.0013763,0.0013763,0.0013763
65,3372.51,1.19754,0.71626,1.27986,0.94393,0.88149,0.93001,0.57706,1.24221,0.63715,1.32401,0.0013664,0.0013664,0.0013664
66,3424.22,1.17483,0.72166,1.26984,0.90697,0.9021,0.92771,0.58686,1.23308,0.64582,1.31162,0.0013565,0.0013565,0.0013565
67,3475.87,1.16721,0.74275,1.27162,0.93017,0.88474,0.93605,0.58561,1.2535,0.65336,1.33,0.0013466,0.0013466,0.0013466
68,3527.48,1.17045,0.72682,1.28054,0.9443,0.8807,0.93469,0.59406,1.23709,0.62616,1.32289,0.0013367,0.0013367,0.0013367
69,3579.35,1.15214,0.70575,1.24421,0.91738,0.90122,0.93617,0.5942,1.21385,0.62146,1.29312,0.0013268,0.0013268,0.0013268
70,3631.25,1.16798,0.70632,1.26835,0.92183,0.90097,0.93253,0.59811,1.23494,0.62238,1.33145,0.0013169,0.0013169,0.0013169
71,3683.11,1.1462,0.70305,1.26451,0.92784,0.89757,0.93215,0.58597,1.26963,0.62436,1.34569,0.001307,0.001307,0.001307
72,3734.9,1.15247,0.68366,1.26293,0.92309,0.88636,0.93776,0.59951,1.24122,0.61871,1.33316,0.0012971,0.0012971,0.0012971
73,3787.02,1.16885,0.7139,1.26944,0.93626,0.8961,0.92889,0.59828,1.24131,0.60971,1.3232,0.0012872,0.0012872,0.0012872
74,3838.54,1.12872,0.67338,1.24078,0.92662,0.89286,0.93381,0.59303,1.22579,0.62114,1.31679,0.0012773,0.0012773,0.0012773
75,3890.08,1.14552,0.70032,1.25321,0.91299,0.91396,0.93505,0.59109,1.26455,0.6219,1.35699,0.0012674,0.0012674,0.0012674
76,3942.17,1.14307,0.68274,1.2425,0.91202,0.90869,0.9325,0.58937,1.26708,0.61735,1.34862,0.0012575,0.0012575,0.0012575
77,3993.78,1.13958,0.67943,1.24642,0.90845,0.91396,0.93744,0.58856,1.2701,0.62843,1.34796,0.0012476,0.0012476,0.0012476
78,4046.03,1.11837,0.66867,1.24145,0.93027,0.91558,0.94846,0.60161,1.22827,0.58527,1.32223,0.0012377,0.0012377,0.0012377
79,4097.89,1.13086,0.65892,1.23979,0.94586,0.89935,0.94243,0.59132,1.26719,0.61562,1.32865,0.0012278,0.0012278,0.0012278
80,4149.31,1.12272,0.67028,1.24343,0.92526,0.90422,0.93484,0.60273,1.22679,0.61164,1.3251,0.0012179,0.0012179,0.0012179
81,4200.88,1.12301,0.66952,1.23402,0.92554,0.91234,0.94732,0.60691,1.22534,0.59551,1.3259,0.001208,0.001208,0.001208
82,4251.83,1.10625,0.66062,1.24275,0.92453,0.90422,0.93106,0.59486,1.25262,0.62606,1.33999,0.0011981,0.0011981,0.0011981
83,4301.98,1.10907,0.67031,1.23396,0.90437,0.90578,0.93274,0.59618,1.21832,0.62977,1.31,0.0011882,0.0011882,0.0011882
84,4351.88,1.09676,0.64773,1.22832,0.92026,0.91795,0.93699,0.6103,1.20665,0.59359,1.30267,0.0011783,0.0011783,0.0011783
85,4401.8,1.08655,0.63637,1.21142,0.92963,0.90584,0.9313,0.59744,1.22145,0.59555,1.3033,0.0011684,0.0011684,0.0011684
86,4451.13,1.10118,0.64175,1.23358,0.94272,0.91071,0.93989,0.60108,1.22367,0.59379,1.3234,0.0011585,0.0011585,0.0011585
87,4500.07,1.09674,0.64183,1.22378,0.93347,0.91234,0.93779,0.598,1.23873,0.59412,1.32547,0.0011486,0.0011486,0.0011486
88,4549.07,1.09657,0.63738,1.21895,0.94768,0.87175,0.93791,0.59763,1.21835,0.62511,1.31782,0.0011387,0.0011387,0.0011387
89,4597.97,1.07314,0.62233,1.20491,0.94839,0.88636,0.94251,0.60959,1.21179,0.5843,1.31054,0.0011288,0.0011288,0.0011288
90,4646.88,1.07238,0.62335,1.21051,0.94162,0.91234,0.94661,0.61873,1.18469,0.57317,1.28899,0.0011189,0.0011189,0.0011189
91,4696.07,1.06935,0.62666,1.20668,0.93255,0.87534,0.9347,0.60332,1.19771,0.60298,1.29858,0.001109,0.001109,0.001109
92,4744.99,1.0814,0.64651,1.22327,0.93905,0.90039,0.94053,0.60562,1.20764,0.59749,1.29706,0.0010991,0.0010991,0.0010991
93,4793.9,1.08872,0.63629,1.22019,0.93803,0.91234,0.94281,0.606,1.21365,0.59117,1.30351,0.0010892,0.0010892,0.0010892
94,4842.84,1.07436,0.6383,1.20323,0.93836,0.91439,0.93984,0.60983,1.2107,0.58126,1.30111,0.0010793,0.0010793,0.0010793
95,4891.72,1.06909,0.61815,1.20127,0.93644,0.90883,0.94599,0.61485,1.19693,0.58783,1.30476,0.0010694,0.0010694,0.0010694
96,4940.91,1.05907,0.6128,1.18809,0.9355,0.91821,0.9444,0.61451,1.1979,0.5687,1.3088,0.0010595,0.0010595,0.0010595
97,4990.25,1.076,0.61808,1.199,0.93665,0.90584,0.944,0.60971,1.21439,0.58211,1.32548,0.0010496,0.0010496,0.0010496
98,5039.45,1.06155,0.6128,1.19959,0.93359,0.92045,0.94945,0.61542,1.20428,0.58483,1.30643,0.0010397,0.0010397,0.0010397
99,5089.38,1.04547,0.60756,1.18302,0.94161,0.91621,0.9445,0.61715,1.19129,0.57378,1.29557,0.0010298,0.0010298,0.0010298
100,5139,1.05628,0.59866,1.1914,0.94329,0.91808,0.95413,0.61867,1.19468,0.56644,1.29388,0.0010199,0.0010199,0.0010199
101,5188.24,1.04563,0.60512,1.18745,0.93607,0.93344,0.95034,0.6192,1.18418,0.55607,1.28864,0.00101,0.00101,0.00101
102,5237.58,1.03998,0.60833,1.18864,0.95047,0.90343,0.94655,0.61047,1.203,0.57185,1.29481,0.0010001,0.0010001,0.0010001
103,5287.11,1.0197,0.59789,1.17208,0.94856,0.92857,0.949,0.61449,1.19964,0.5671,1.3069,0.0009902,0.0009902,0.0009902
104,5336.86,1.03507,0.60283,1.18368,0.92837,0.93669,0.9527,0.62094,1.19894,0.55776,1.29511,0.0009803,0.0009803,0.0009803
105,5387.97,1.02049,0.57922,1.1647,0.91953,0.92758,0.93982,0.61044,1.2017,0.56553,1.2989,0.0009704,0.0009704,0.0009704
106,5437.59,1.0197,0.59025,1.18538,0.94705,0.91396,0.94817,0.61796,1.19452,0.56127,1.30038,0.0009605,0.0009605,0.0009605
107,5487.22,1.02963,0.60229,1.18087,0.94716,0.90747,0.93729,0.60965,1.19366,0.56935,1.29873,0.0009506,0.0009506,0.0009506
