epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.268,2.34975,3.54205,2.72179,0.00148,0.32719,0.00098,0.00033,nan,nan,nan,0.000664474,0.000664474,0.000664474
2,278.4,2.30506,2.7418,2.72356,0.02691,0.13825,0.01359,0.00373,2.75506,23.1821,3.24032,0.00131796,0.00131796,0.00131796
3,416.249,2.12752,2.47285,2.54413,0.21987,0.24028,0.18442,0.08053,2.15353,5.46184,2.50215,0.00195825,0.00195825,0.00195825
4,554.508,2.07061,2.37087,2.47382,0.27944,0.34793,0.26029,0.09921,2.14597,5.62758,2.50104,0.0019406,0.0019406,0.0019406
5,692.428,1.9825,2.19646,2.38349,0.36991,0.26728,0.2727,0.13404,2.11753,3.16766,2.38725,0.0019208,0.0019208,0.0019208
6,830.138,1.95474,2.17462,2.33807,0.64403,0.38249,0.4841,0.20859,2.05416,2.42372,2.3883,0.001901,0.001901,0.001901
7,967.988,1.85791,2.03837,2.25299,0.60349,0.41705,0.51216,0.22484,2.03679,2.12894,2.32285,0.0018812,0.0018812,0.0018812
8,1105.71,1.83688,1.97043,2.2237,0.58213,0.46313,0.52914,0.23872,1.9592,2.28778,2.26631,0.0018614,0.0018614,0.0018614
9,1242.71,1.81346,1.871,2.20559,0.70784,0.46335,0.57106,0.26619,1.91245,1.98615,2.20844,0.0018416,0.0018416,0.0018416
10,1379.98,1.78037,1.83601,2.16925,0.60675,0.40553,0.50242,0.24662,1.91767,2.16795,2.20042,0.0018218,0.0018218,0.0018218
11,1520.28,1.77951,1.86418,2.16966,0.75517,0.45622,0.59677,0.29499,1.88351,1.82816,2.16991,0.001802,0.001802,0.001802
12,1659.05,1.75866,1.7778,2.15582,0.67472,0.52995,0.64677,0.30791,1.91065,1.70355,2.19442,0.0017822,0.0017822,0.0017822
13,1800.53,1.74903,1.71368,2.16143,0.67254,0.59217,0.6739,0.30255,1.89335,1.72826,2.11577,0.0017624,0.0017624,0.0017624
14,1938.27,1.74028,1.72615,2.13521,0.66814,0.60369,0.6773,0.32151,1.89478,1.68897,2.18725,0.0017426,0.0017426,0.0017426
15,2078.18,1.72767,1.65223,2.14349,0.72234,0.58525,0.70093,0.3476,1.86943,1.46608,2.13095,0.0017228,0.0017228,0.0017228
16,2217.57,1.70061,1.68106,2.11292,0.61991,0.59447,0.67334,0.33969,1.86319,1.50928,2.13937,0.001703,0.001703,0.001703
17,2357.8,1.68441,1.62701,2.08721,0.65804,0.60745,0.68646,0.33545,1.832,1.63964,2.14392,0.0016832,0.0016832,0.0016832
18,2496.95,1.68186,1.61214,2.08946,0.68623,0.63825,0.71248,0.36339,1.81735,1.48673,2.09076,0.0016634,0.0016634,0.0016634
19,2637.88,1.6703,1.60274,2.0919,0.76398,0.34308,0.44303,0.21946,2.11779,2.37432,2.50728,0.0016436,0.0016436,0.0016436
20,2778.27,1.65791,1.5774,2.05443,0.70649,0.58065,0.69523,0.35471,1.80506,1.42116,2.0757,0.0016238,0.0016238,0.0016238
21,2919.61,1.67341,1.53772,2.08087,0.72193,0.65204,0.74228,0.39025,1.72902,1.37534,1.99094,0.001604,0.001604,0.001604
22,3057.71,1.65518,1.54218,2.07677,0.75873,0.58756,0.73103,0.36549,1.79258,1.45128,2.06894,0.0015842,0.0015842,0.0015842
23,3195.36,1.64182,1.501,2.05139,0.7221,0.62442,0.73222,0.35278,1.84573,1.37262,2.09348,0.0015644,0.0015644,0.0015644
24,3332.81,1.61805,1.45909,2.02217,0.76302,0.6306,0.73604,0.37353,1.77152,1.38759,2.03325,0.0015446,0.0015446,0.0015446
25,3470.28,1.59171,1.42824,1.99929,0.66071,0.35945,0.41781,0.19932,2.22992,2.83763,2.61947,0.0015248,0.0015248,0.0015248
26,3607.76,1.60472,1.45093,2.00249,0.75983,0.67051,0.76638,0.38521,1.80227,1.41961,2.047,0.001505,0.001505,0.001505
27,3745.21,1.59245,1.42895,1.99313,0.72742,0.71198,0.77183,0.394,1.77221,1.30261,2.03555,0.0014852,0.0014852,0.0014852
28,3883,1.59134,1.41837,1.99047,0.76228,0.65668,0.76262,0.39532,1.73747,1.38972,1.99569,0.0014654,0.0014654,0.0014654
29,4020.72,1.58146,1.40766,1.99177,0.75497,0.68894,0.78,0.39072,1.71347,1.29113,2.00771,0.0014456,0.0014456,0.0014456
30,4158.2,1.56659,1.38192,1.98375,0.72167,0.70276,0.76402,0.39071,1.75595,1.29918,2.03636,0.0014258,0.0014258,0.0014258
31,4295.74,1.55467,1.33075,1.97242,0.72302,0.69585,0.76665,0.39598,1.68694,1.27293,1.96674,0.001406,0.001406,0.001406
32,4433.39,1.5488,1.37303,1.94742,0.72575,0.69124,0.77315,0.39978,1.72647,1.28596,2.02339,0.0013862,0.0013862,0.0013862
33,4571.22,1.57079,1.36278,1.96731,0.68204,0.74139,0.76025,0.38265,1.74931,1.31604,2.02253,0.0013664,0.0013664,0.0013664
34,4708.63,1.54027,1.32353,1.96116,0.78409,0.73502,0.81015,0.43088,1.66819,1.21351,1.94931,0.0013466,0.0013466,0.0013466
35,4846.34,1.52512,1.31104,1.95796,0.75357,0.70968,0.78581,0.42937,1.68367,1.17711,1.96783,0.0013268,0.0013268,0.0013268
36,4983.83,1.52977,1.29884,1.9414,0.74458,0.70737,0.7905,0.42197,1.68817,1.18356,1.96202,0.001307,0.001307,0.001307
37,5121.27,1.5474,1.33449,1.95077,0.78946,0.6682,0.78683,0.41858,1.68014,1.21035,1.93814,0.0012872,0.0012872,0.0012872
38,5258.73,1.53059,1.3232,1.94088,0.73959,0.73502,0.80673,0.44133,1.63879,1.14591,1.93853,0.0012674,0.0012674,0.0012674
39,5396.44,1.51752,1.25591,1.92757,0.77593,0.74654,0.81907,0.44607,1.66177,1.11775,1.93518,0.0012476,0.0012476,0.0012476
40,5534.16,1.49495,1.26077,1.90638,0.71855,0.80004,0.81201,0.41491,1.7148,1.26449,1.96918,0.0012278,0.0012278,0.0012278
41,5671.64,1.48543,1.24417,1.88761,0.74444,0.77419,0.81468,0.4418,1.64611,1.14056,1.92151,0.001208,0.001208,0.001208
